weight,imgName,area,perimeter,min_rect_width,min_rect_high,approx_area,approx_perimeter,extent,hull_perimeter,hull_area,solidity,max_defect_dist,sum_defect_dist,equi_diameter,ellipse_long,ellipse_short,eccentricity,volume,maxHeight,minHeight,max2min,meanHeight,mean2min,mean2max,stdHeight,heightSum
2.1,140.2_Depth-0.png,45993.5,1041.4772639274595,171.9877166748047,422.826416015625,45170.5,941.5122528076172,0.5512230491736478,945.0180324316024,49210.5,0.9346277725282206,4465,23091,241.99327056919725,380.3369445800781,162.1336669921875,0.9821260983507288,2165065.5,143,96,47,101.1162422936768,5.116242293676805,41.8837577063232,3.2741154160724024,4412005
1.49,50.2_Depth-0.png,38895.5,1086.815357208252,165.95181274414062,435.8132934570313,38616.0,994.4895057678224,0.3862128884917089,976.2461030483246,46381.0,0.8386084819214764,6811,30796,222.53828594703995,393.736572265625,153.2672119140625,0.9874199776143384,1777051.5,145,81,64,99.82416787264832,18.82416787264833,45.17583212735167,6.14947509867183,3862796
1.47,175.1_Depth-0.png,35077.0,962.8914767503738,167.16610717773438,369.51513671875,34320.0,876.8657264709473,0.4933820943807581,846.4946097135544,40443.5,0.8673087146265778,7908,29267,211.3324951602931,321.6859436035156,158.41807556152344,0.9648163337888168,2460243.0,175,90,85,106.90980962069467,16.909809620694674,68.09019037930533,5.063052917634469,3678232
1.74,120.3_Depth-0.png,37374.5,904.9087224006652,166.51174926757812,350.5394592285156,36554.0,834.4582061767578,0.5982312925170068,837.0100846290588,38949.5,0.959563023915583,3308,16370,218.14374014558464,337.60919189453125,148.3052215576172,0.9814538685917248,651875.5,117,91,26,101.87939106864168,10.87939106864168,15.12060893135832,3.877076952770912,3720941
1.78,156.2_Depth-0.png,38133.5,1026.874233007431,186.64645385742188,370.3445434570313,37211.5,938.9505920410156,0.419178428527459,923.4393025636672,48207.0,0.7910365714522787,12382,27640,220.34763483903868,356.5497741699219,173.66326904296875,0.9740708942419144,2812527.5,175,87,88,104.73753458846508,17.73753458846508,70.26246541153492,6.347708966579492,3860835
1.66,173.4_Depth-0.png,36040.5,878.9331080913544,150.99203491210938,349.1954040527344,35431.0,802.8209171295166,0.5090466101694915,811.3352521657944,37931.0,0.9501595001450002,2570,17445,214.21528846473035,342.420166015625,142.939208984375,0.9846712954957628,740967.5,125,98,27,106.87986257027656,8.879862570276558,18.12013742972344,2.888931030330742,3764095
1.79,188.4_Depth-0.png,49175.0,1058.4061958789823,401.7173461914063,177.5166778564453,47629.5,961.4476547241212,0.6838218934252975,963.447979092598,53045.5,0.9270343384452968,6286,25676,250.2230097579989,390.2482604980469,172.91912841796875,0.9777734248741432,658275.0,108,86,22,96.83487002310238,10.834870023102384,11.165129976897616,3.2942683974164577,4652625
1.52,8.5_Depth-0.png,31930.0,887.7787802219391,153.29396057128906,326.6200866699219,31592.5,812.1024398803711,0.4641258212686784,792.9476910829544,36895.5,0.8654171917984578,7525,28005,201.6297067978668,328.1098327636719,148.26905822753906,0.9737470372606216,1384492.0,153,91,62,111.11880653864466,20.118806538644662,41.88119346135534,6.712270295235013,3500798
1.16,146.2_Depth-0.png,35786.5,969.4528781175612,388.8489074707031,149.4220428466797,36360.5,899.7588081359863,0.5384019377745682,899.4284942150116,40579.5,0.8818861740534013,5288,18326,213.45909905100063,371.321044921875,147.75936889648438,0.9838677231540396,1632316.0,144,82,62,100.48918317255551,18.489183172555517,43.510816827444486,7.063785532887997,3520940
1.63,189.2_Depth-0.png,40833.0,1101.6610300540924,428.5388793945313,168.03567504882812,39856.0,996.5718383789062,0.5185011174319383,996.546123623848,48666.5,0.839037119990137,10349,24756,228.0135748813454,409.6307678222656,166.81568908691406,0.9853411395152608,1868170.0,142,82,60,98.1375883337079,16.137588333707896,43.8624116662921,4.578413154499178,3930116
